publ_id,title
3879657,"Erratum to - Bounds on the number of hidden neurons in three-layer binary neural networks [Neural Networks 16 (7) 995-1002]."
3891067,"Classification capacity of a modular neural network implementing neurally inspired architecture and training rules."
4108805,"Artificial Neural Networks Manipulation Server - Research on the Integration of Databases and Artificial Neural Networks."
4109275,"An intelligent sales forecasting system through integration of artificial neural networks and fuzzy neural networks with fuzzy weight elimination."
4119003,"The simplicial neural cell and its mixed-signal circuit implementation - an efficient neural-network architecture for intelligent signal processing in portable multimedia applications."
4198661,"Development of neural models for the logistic equation and study of the neural based trajectories in the convergence, periodic, and chaotic regions."
4269055,"Neural Fuzzy Preference Integration Using Neural Preference Moore Machines."
4287086,"On-line retrainable neural networks - improving the performance of neural networks in image analysis problems."
4352033,"On redundancy in neural architecture - dynamics of a simple module-based neural network and initial-state independence."
4359606,"Multiple neural-network-based adaptive controller using orthonormal activation function neural networks."
4423103,"Comparing neural networks - a benchmark on growing neural gas, growing cell structures, and fuzzy ARTMAP."
4468664,"Book Review - "Neural Networks in Financial Engineering - Proceedings of the Fourth International Conference on Neural Networks in the Capital Markets (NNCM-95)", by A.-P. N. Refenes, Y. Abu-Mostafa, J. Moody, A. Weigend."
4475499,"Computational Neural Networks for Mapping Calorimetric Data - Application of Feed-forward Neural Netwroks to Kinetic Parameters Determination and Signals Filtering."
4481456,"On neural networks that design neural associative memories."
4481552,"Quantum neural networks (QNNs) - inherently fuzzy feedforward neural networks."
4570308,"Locally activated neural networks and stable neural controller design for nonlinear dynamic systems."
4620208,"Nonlinear neural controller with neural Smith predictor."
4620238,"Performance comparison of dynamic neural processor and recurrent neural networks."
4663206,"Neural Networks - Advances And Applications edited by E. Gelenbe North-Holland, Amsterdam, 1992, ix + 222 pp., distributed in USA and Canada by Elsevier Science Publishing Co., New York (Hardcover $108; paperback £24.95).An Introduction To The Modeling Of Neural Networks, by P. Peretto. Collection Alea-Saclay - Monographs and Texts in Statistical No 2, Cambridge University Press, 1992, xviii + 473 pp., (£60.00, Hardback); £24.95, Paperback)Neural Networks For Systems And Control, edited by K. Warwick, Irwin G.W. and Hunt K.J. IEE Control Engineering Series no 46, Peter Peregrinus, London, on behalf of Institution of Electrical Engineers, London, 1992, xiii + 260pp., (Hardcover, £39.00)."
4695417,"Measuring Natural Neural Processing with Artificial Neural Networks."
4804080,"Neural network models with higher order neural interactions."
9742,"Combining attention-based bidirectional gated recurrent neural network and two-dimensional convolutional neural network for document-level sentiment classification."
14789,"Analyzing genetic diseases using multimedia processing techniques associative decision tree-based learning and Hopfield dynamic neural networks from medical images."
14791,"Improved inception-residual convolutional neural network for object recognition."
14792,"Fuzzy rank correlation-based segmentation method and deep neural network for bone cancer identification."
14793,"An artificial neural network model for the prediction of bruxism by means of occlusal variables."
14794,"Neural network applications in fault diagnosis and detection - an overview of implementations in engineering-related systems."
14796,"(μ , ν )-Pseudo-almost automorphic solutions for high-order Hopfield bidirectional associative memory neural networks."
14797,"On the automated, evolutionary design of neural networks - past, present, and future."
14806,"Pooling spike neural network for fast rendering in global illumination."
14810,"Estimation of hydrogen flow rate in atmospheric Ar - H2 plasma by using artificial neural network."
14815,"Basic filters for convolutional neural networks applied to music - Training or design?"
14824,"An enhanced diabetic retinopathy detection and classification approach using deep convolutional neural network."
14826,"A classifier of matrix modular neural network to simplify complex classification tasks."
14831,"Bioacoustic detection with wavelet-conditioned convolutional neural networks."
14835,"A methodology for detecting relevant single nucleotide polymorphism in prostate cancer with multivariate adaptive regression splines and backpropagation artificial neural networks."
14840,"Singing voice separation using a deep convolutional neural network trained by ideal binary mask and cross entropy."
14841,"State estimation of zinc air batteries using neural networks."
14843,"A survey of FPGA-based accelerators for convolutional neural networks."
14844,"A systematic review and meta-analysis of artificial neural network application in geotechnical engineering - theory and applications."
14847,"Bat algorithm-based weighted Laplacian probabilistic neural network."
14849,"Monitoring the fill level of a ball mill using vibration sensing and artificial neural network."
14851,"A quadratic boundedness approach to a neural network-based simultaneous estimation of actuator and sensor faults."
14854,"A novel modular RBF neural network based on a brain-like partition method."
14861,"Automatic detection of lung cancer from biomedical data set using discrete AdaBoost optimized ensemble learning generalized neural networks."
14873,"Alcoholism identification via convolutional neural network based on parametric ReLU, dropout, and batch normalization."
14879,"Understanding auditory representations of emotional expressions with neural networks."
14883,"A database-driven neural computing framework for classification of vertical jump patterns of healthy female netballers using 3D kinematics-EMG features."
14891,"Nested rings - a simple scalable ring-based ROADM structure for neural application computing in mega datacenters."
15215,"Constructing multilayered neural networks with sparse, data-driven connectivity using biologically-inspired, complementary, homeostatic mechanisms."
15216,"Indirect and direct training of spiking neural networks for end-to-end control of a lane-keeping vehicle."
15219,"Global exponential synchronization of delayed memristive neural networks with reaction-diffusion terms."
15221,"A broad class of discrete-time hypercomplex-valued Hopfield neural networks."
15222,"A new fixed-time stability theorem and its application to the fixed-time synchronization of neural networks."
15223,"The GH-EXIN neural network for hierarchical clustering."
15225,"Realistic spiking neural network - Non-synaptic mechanisms improve convergence in cell assembly."
15227,"Multi-task learning for the prediction of wind power ramp events with deep neural networks."
15230,"Named entity recognition in electronic health records using transfer learning bootstrapped Neural Networks."
15231,"A counterexample regarding "New study on neural networks - The essential order of approximation"."
15234,"Spiking Neural Networks applied to the classification of motor tasks in EEG signals."
15235,"Multistability of switched neural networks with sigmoidal activation functions under state-dependent switching."
15236,"A biologically plausible supervised learning method for spiking neural networks using the symmetric STDP rule."
15237,"On the minimax optimality and superiority of deep neural network learning over sparse parameter spaces."
15239,"New H∞ state estimation criteria of delayed static neural networks via the Lyapunov-Krasovskii functional with negative definite terms."
15240,"Evolving artificial neural networks with feedback."
15244,"Synchronization in an array of coupled neural networks with delayed impulses - Average impulsive delay method."
15245,"Adaptive fault-tolerant consensus for a class of leader-following systems using neural network learning strategy."
15248,"Effects of infinite occurrence of hybrid impulses with quasi-synchronization of parameter mismatched neural networks."
15249,"Deep learning and deep knowledge representation in Spiking Neural Networks for Brain-Computer Interfaces."
15251,"A review on neural network models of schizophrenia and autism spectrum disorder."
15256,"Event-triggered passivity and synchronization of delayed multiple-weighted coupled reaction-diffusion neural networks with non-identical nodes."
15258,"Finite-time resilient H∞ state estimation for discrete-time delayed neural networks under dynamic event-triggered mechanism."
15259,"The role of coupling connections in a model of the cortico-basal ganglia-thalamocortical neural loop for the generation of beta oscillations."
15260,"Exploiting the stimuli encoding scheme of evolving Spiking Neural Networks for stream learning."
15261,"Spiking Neural Networks and online learning - An overview and perspectives."
15262,"Spacial sampled-data control for H∞ output synchronization of directed coupled reaction-diffusion neural networks with mixed delays."
15265,"A scalable multi-signal approach for the parallelization of self-organizing neural networks."
15267,"Event-driven implementation of deep spiking convolutional neural networks for supervised classification using the SpiNNaker neuromorphic platform."
15268,"Modeling functional resting-state brain networks through neural message passing on the human connectome."
15269,"On the validity of memristor modeling in the neural network literature."
15270,"The robustness-fidelity trade-off in Grow When Required neural networks performing continuous novelty detection."
15271,"Gated spiking neural network using Iterative Free-Energy Optimization and rank-order coding for structure learning in memory sequences (INFERNO GATE)."
15274,"Cuneate spiking neural network learning to classify naturalistic texture stimuli under varying sensing conditions."
15275,"Tree-CNN - A hierarchical Deep Convolutional Neural Network for incremental learning."
15276,"Using a deep convolutional neural network to predict 2017 ozone concentrations, 24 hours in advance."
15284,"A review of learning in biologically plausible spiking neural networks."
15289,"Deep neural network and data augmentation methodology for off-axis iris segmentation in wearable headsets."
15291,"Finite-time and fixed-time anti-synchronization of Markovian neural networks with stochastic disturbances via switching control."
15292,"Multistability and attraction basins of discrete-time neural networks with nonmonotonic piecewise linear activation functions."
15294,"Sliding mode control of neural networks via continuous or periodic sampling event-triggering algorithm."
15295,"Global synchronization of coupled delayed memristive reaction-diffusion neural networks."
15297,"A waiting-time-based event-triggered scheme for stabilization of complex-valued neural networks."
15298,"Structured pruning of recurrent neural networks through neuron selection."
15300,"New approach to global Mittag-Leffler synchronization problem of fractional-order quaternion-valued BAM neural networks based on a new inequality."
15301,"ℓ1-gain filter design of discrete-time positive neural networks with mixed delays."
15306,"Operation-aware Neural Networks for user response prediction."
15307,"Liver disease screening based on densely connected deep neural networks."
15308,"Global Mittag-Leffler stability and synchronization of discrete-time fractional-order complex-valued neural networks with time delay."
15309,"Existence and finite-time stability of discrete fractional-order complex-valued neural networks with time delays."
15315,"A smoothing neural network for minimization l1-lp in sparse signal reconstruction with measurement noises."
15317,"Embedding topological features into convolutional neural network salient object detection."
22168,"Augmenting Recurrent Neural Networks Resilience by Dropout."
22171,"Stability Analysis for Delayed Neural Networks With an Improved General Free-Matrix-Based Integral Inequality."
22172,"Automatic Sleep Staging Employing Convolutional Neural Networks and Cortical Connectivity Images."
22175,"Neural Network-Based Distributed Cooperative Learning Control for Multiagent Systems via Event-Triggered Communication."
22180,"Distribution-Free Probability Density Forecast Through Deep Neural Networks."
22182,"A Time Wave Neural Network Framework for Solving Time-Dependent Project Scheduling Problems."
22187,"Noise Robust Projection Rule for Hyperbolic Hopfield Neural Networks."
22189,"Passivity Analysis for Quaternion-Valued Memristor-Based Neural Networks With Time-Varying Delay."
22191,"Adaptive Neural Network Learning Controller Design for a Class of Nonlinear Systems With Time-Varying State Constraints."
22194,"A White-Box Equivalent Neural Network Circuit Model for SoC Estimation of Electrochemical Cells."
22196,"Self-Tuning Neural Predictive Control Scheme for Ultrabattery to Emulate a Virtual Synchronous Machine in Autonomous Power Systems."
22199,"Attack Detection and Approximation in Nonlinear Networked Control Systems Using Neural Networks."
22201,"Selection and Optimization of Temporal Spike Encoding Methods for Spiking Neural Networks."
22202,"The Forbidden Region Self-Organizing Map Neural Network."
22204,"Metacognitive Octonion-Valued Neural Networks as They Relate to Time Series Analysis."
22205,"Probabilistic Neural Network With Complex Exponential Activation Functions in Image Recognition."
22210,"Spatially Arranged Sparse Recurrent Neural Networks for Energy Efficient Associative Memory."
22218,"Scalable Digital Neuromorphic Architecture for Large-Scale Biophysically Meaningful Neural Network With Multi-Compartment Neurons."
22224,"Stabilization of Second-Order Memristive Neural Networks With Mixed Time Delays via Nonreduced Order."
25255,"Residual Neural Network Vs Local Binary Convolutional Neural Networks for Bilingual Handwritten Digit Recognition."
29875,"Neural Autopoiesis - Organizing Self-Boundary by Stimulus Avoidance in Biological and Artificial Neural Networks."
30699,"Neural MMO v1.3 - A Massively Multiagent Game Environment for Training and Evaluating Neural Networks."
30947,"Exponential discretization of weights of neural network connections in pre-trained neural networks."
32456,"Neural Rule Ensembles - Encoding Sparse Feature Interactions into Neural Networks."
38642,"Prospects of Electrooculography in Human-Computer Interface Based Neural Rehabilitation for Neural Repair Patients."
49850,"NeuralTaint - A Key Segment Marking Tool Based on Neural Network."
55257,"Bidirectional LSTM Malicious webpages detection algorithm based on convolutional neural network and independent recurrent neural network."
56118,"Comparative effectiveness of convolutional neural network (CNN) and recurrent neural network (RNN) architectures for radiology text report classification."
58483,"Genetic Neural Networks - an artificial neural network architecture for capturing gene expression relationships."
76109,"Neural-Brane - Neural Bayesian Personalized Ranking for Attributed Network Embedding."
87343,"Automated AJCC (7th edition) staging of non-small cell lung cancer (NSCLC) using deep convolutional neural network (CNN) and recurrent neural network (RNN)."
87757,"Co-design of deep neural nets and neural net accelerators for embedded vision applications."
98822,"Neonatal Seizure Detection Using Deep Convolutional Neural Networks."
98824,"An Attention-Based Spiking Neural Network for Unsupervised Spike-Sorting."
98827,"A Computational Model for the Neural Representation and Estimation of the Binocular Vector Disparity from Convergent Stereo Image Pairs."
98836,"Compact Hardware Synthesis of Stochastic Spiking Neural Networks."
98841,"Proprioceptive Recognition with Artificial Neural Networks Based on Organizations of Spinocerebellar Tract and Cerebellum."
98855,"Scaled Subprofile Modeling and Convolutional Neural Networks for the Identification of Parkinson's Disease in 3D Nuclear Imaging Data."
98862,"Lyapunov Theory-Based Fusion Neural Networks for the Identification of Dynamic Nonlinear Systems."
98863,"How Far can Neural Correlations Reduce Uncertainty? Comparison of Information Transmission Rates for Markov and Bernoulli Processes."
99484,"Neural self-compressor - Collective interpretation by compressing multi-layered neural networks into non-layered networks."
99493,"Exploiting deep convolutional neural networks for a neural-based learning classifier system."
99749,"Advances in artificial neural networks, machine learning and computational intelligence - Selected papers from the 26th European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning (ESANN 2018)."
100435,"Research on Neural Information Coding of Spiking Neural Network Based on Synaptic Plasticity Under AC Electric Field Stimulation."
103340,"Adverse Drug Event Detection Using a Weakly Supervised Convolutional Neural Network and Recurrent Neural Network Model."
122342,"A High DR, DC-Coupled, Time-Based Neural-Recording IC With Degeneration R-DAC for Bidirectional Neural Interface."
126622,"Neural Cache - Bit-Serial In-Cache Acceleration of Deep Neural Networks."
131055,"An MLP-based representation of neural tensor networks for the RDF data models."
131057,"An ensemble of RBF neural networks in decision tree structure with knowledge transferring to accelerate multi-classification."
131059,"Evaluating generalization through interval-based neural network inversion."
131073,"Intelligent modeling of thermohydraulic behavior in solar air heaters with artificial neural networks."
131075,"Evolution of the size distribution of Al-B4C nano-composite powders during mechanical milling - a comparison of experimental results with artificial neural networks and multiple linear regression models."
131082,"Automatic detection of electrocardiographic arrhythmias by parallel continuous neural networks implemented in FPGA."
131090,"Crime activities prediction using hybridization of firefly optimization technique and fuzzy cognitive map neural networks."
131093,"Comparative performance of wavelet-based neural network approaches."
131095,"Stability analysis for a class of impulsive high-order Hopfield neural networks with leakage time-varying delays."
131096,"Piecewise asymptotically almost automorphic solutions for impulsive non-autonomous high-order Hopfield neural networks with mixed delays."
131097,"Pullback attractor for neutral Hopfield neural networks with time delay in the leakage term and mixed time delays."
131105,"Artificial bee colony-based neural network for the prediction of the fundamental period of infilled frame structures."
131108,"An efficient simulation-neural network-genetic algorithm for flexible flow shops with sequence-dependent setup times, job deterioration and learning effects."
131109,"An intelligent approach to predict gas compressibility factor using neural network model."
131123,"Improving optimization of convolutional neural networks through parameter fine-tuning."
131124,"Comparison of adaptive neuro-fuzzy inference system and recurrent neural network in vertical total electron content forecasting."
131127,"Character-level recurrent neural networks in practice - comparing training and sampling schemes."
131129,"Generalized additive neural network with flexible parametric link function - model estimation using simulated and real clinical data."
131140,"Intelligent supervision approach based on multilayer neural PCA and nonlinear gain scheduling."
131149,"Prediction of pK(a) values of neutral and alkaline drugs with particle swarm optimization algorithm and artificial neural network."
131154,"Modified multiple generalized regression neural network models using fuzzy C-means with principal component analysis for noise prediction of offshore platform."
131155,"Dissipativity analysis of complex-valued BAM neural networks with time delay."
131159,"Convergence in Orlicz spaces by means of the multivariate max-product neural network operators of the Kantorovich type and applications."
131162,"Research on prediction model of geotechnical parameters based on BP neural network."
131165,"Prediction of the vertical force during FSW of AZ31 magnesium alloy sheets using an artificial neural network-based model."
131170,"Nonnegative matrix factorization algorithms based on the inertial projection neural network."
131182,"Global context-dependent recurrent neural network language model with sparse feature learning."
131185,"Delayed impulsive control for exponential synchronization of stochastic reaction-diffusion neural networks with time-varying delays using general integral inequalities."
131190,"Traffic identification method based on multiple probabilistic neural network model."
131192,"Discriminatively trained continuous Hindi speech recognition system using interpolated recurrent neural network language modeling."
131198,"Fecal coliform predictive model using genetic algorithm-based radial basis function neural networks (GA-RBFNNs)."
131200,"Median-Pi artificial neural network for forecasting."
131208,"Design of neural network predictive controller based on imperialist competitive algorithm for automatic voltage regulator."
131212,"Control of unmanned agricultural vehicles using neural network-based control system."
131218,"A neural-network enhanced modeling method for real-time evaluation of the temperature distribution in a data center."
131224,"Ontology semantic integration based on convolutional neural network."
131237,"Convolutional neural network for spectral-spatial classification of hyperspectral images."
131238,"Improving the performance of convolutional neural network for skin image classification using the response of image analysis filters."
131249,"Robust state estimation for stochastic complex-valued neural networks with sampled-data."
131254,"Projective synchronization for fractional-order memristor-based neural networks with time delays."
131258,"Construction of prediction model of neural network railway bulk cargo floating price based on random forest regression algorithm."
131268,"Artificial neural network approaches for modeling absorption spectrum of nanowire solar cells."
131270,"Forecasting of Turkey's monthly electricity demand by seasonal artificial neural network."
131287,"Positive solutions and exponential stability of positive equilibrium of inertial neural networks with multiple time-varying delays."
131292,"Perturbation wavelet neural sliding mode position control for a voice coil motor driver."
131295,"The prediction model of worsted yarn quality based on CNN-GRNN neural network."
131296,"A neural dynamic system for solving convex nonlinear optimization problems with hybrid constraints."
131298,"TRec - an efficient recommendation system for hunting passengers with deep neural networks."
131309,"Adaptive memetic method of multi-objective genetic evolutionary algorithm for backpropagation neural network."
131312,"Process modeling and optimization of sorrel biodiesel synthesis using barium hydroxide as a base heterogeneous catalyst - appraisal of response surface methodology, neural network and neuro-fuzzy system."
131316,"Open-circuit fault detection for three-phase inverter based on backpropagation neural network."
131317,"A novel optimized GA-Elman neural network algorithm."
131333,"Predicting power production from a photovoltaic panel through artificial neural networks using atmospheric indicators."
131334,"Exploring the major factors affecting fly-ash concrete carbonation using artificial neural network."
131355,"Neural network modeling of monthly salinity variations in oyster reef in Apalachicola Bay in response to freshwater inflow and winds."
131361,"A generalized reinforcement learning scheme for random neural networks."
131362,"Constructive function approximation by neural networks with optimized activation functions and fixed weights."
131368,"On passivity and robust passivity for discrete-time stochastic neural networks with randomly occurring mixed time delays."
131381,"Global asymptotical stability for a class of non-autonomous impulsive inertial neural networks with unbounded time-varying delay."
131386,"Adaptive learning rule for hardware-based deep neural networks using electronic synapse devices."
131388,"SpikeCD - a parameter-insensitive spiking neural network with clustering degeneracy strategy."
131393,"New stability results for impulsive neural networks with time delays."
131399,"Robust synchronization of memristor-based fractional-order Hopfield neural networks with parameter uncertainties."
131403,"Fractional neural network models for nonlinear Riccati systems."
131404,"An Automatic Tamil Speech Recognition system by using Bidirectional Recurrent Neural Network with Self-Organizing Map."
131408,"Construction of artificial neural network economic forecasting model based on the consideration of state transition diagram."
131413,"Artificial neural network models for FRP-repaired concrete subjected to pre-damaged effects."
131426,"Conditional neural sequence learners for generating drums' rhythms."
131438,"Discrete-time neural network with two classes of bias noises for solving time-variant matrix inversion and application to robot tracking."
131440,"Short-term prediction of wind power using a hybrid pseudo-inverse Legendre neural network and adaptive firefly algorithm."
131445,"An artificial neural network approach for under-reamed piles subjected to uplift forces in dry sand."
131452,"Comprehensive identification of multiple harmonic sources using fuzzy logic and adjusted probabilistic neural network."
131455,"Simulation and evaluation of system of fuzzy linear Fredholm integro-differential equations with fuzzy neural network."
131465,"A comparative review of dynamic neural networks and hidden Markov model methods for mobile on-device speech recognition."
131477,"Modeling the correlation between Charpy impact energy and chemical composition of functionally graded steels by artificial neural networks."
131479,"Prediction water absorption resistance of lightweight geopolymers by artificial neural networks."
131481,"Prediction compressive strength of Portland cement-based geopolymers by artificial neural networks."
131483,"New neural network-based response surface method for reliability analysis of structures."
131490,"Experimental evaluation of artificial neural network for predicting drainage water and groundwater salinity at various drain depths and spacing."
131498,"Transfer learning-based convolutional neural networks with heuristic optimization for hand gesture recognition."
131502,"A convolutional neural network model for semantic segmentation of mitotic events in microscopy images."
131507,"An improved back propagation neural network based on complexity decomposition technology and modified flower pollination optimization for short-term load forecasting."
131511,"Long-term temporal averaging for stochastic optimization of deep neural networks."
131512,"English-Mizo Machine Translation using neural and statistical approaches."
131520,"Maize leaf disease classification using deep convolutional neural networks."
131525,"Single-label and multi-label conceptor classifiers in pre-trained neural networks."
131527,"Hysteretic noisy frequency conversion sinusoidal chaotic neural network for traveling salesman problem."
131533,"Numerical treatment of nonlinear singular Flierl-Petviashivili systems using neural networks models."
131534,"Numerical solution of doubly singular nonlinear systems using neural networks-based integrated intelligent computing."
131536,"Levenberg-Marquardt neural network to estimate UPFC-coordinated PSS parameters to enhance power system stability."
131541,"Predicting the effects of nanoparticles on early age compressive strength of ash-based geopolymers by artificial neural networks."
131545,"Application of artificial neural networks and genetic programming in vapor-liquid equilibrium of C1 to C7 alkane binary mixtures."
131553,"Real-time prediction of online shoppers' purchasing intention using multilayer perceptron and LSTM recurrent neural networks."
131561,"Tuberculosis (TB) detection system using deep neural networks."
131563,"Exponential dissipativity criteria for generalized BAM neural networks with variable delays."
131575,"Rule extraction for fatty liver detection using neural networks."
131577,"A neural network-based method for coverage measurement of shot-peened panels."
131579,"A neuroplasticity-inspired neural circuit for acoustic navigation with obstacle avoidance that learns smooth motion paths."
131580,"Assessing the performance of a modified S-transform with probabilistic neural network, support vector machine and nearest neighbour classifiers for single and multiple power quality disturbances identification."
131582,"Fractional neural observer design for a class of nonlinear fractional chaotic systems."
131584,"Flower pollination-feedforward neural network for load flow forecasting in smart distribution grid."
131585,"Detecting adverse drug reactions from social media based on multi-channel convolutional neural networks."
131588,"Three-dimensional neural network tracking control of a moving target by underactuated autonomous underwater vehicles."
131599,"Hybrid PPFCM-ANN model - an efficient system for customer churn prediction through probabilistic possibilistic fuzzy clustering and artificial neural network."
131603,"Intermittent pinning synchronization of reaction-diffusion neural networks with multiple spatial diffusion couplings."
131604,"Modeling of greenhouse agro-ecosystem using optimally designed bootstrapping artificial neural network."
131606,"Self-organizing neural networks for image segmentation based on multiphase active contour."
131607,"Exponential synchronization of memristor-based recurrent neural networks with multi-proportional delays."
131610,"Synchronization of single-degree-of-freedom oscillators via neural network based on fixed-time terminal sliding mode control scheme."
131613,"A facial expression recognition method based on ensemble of 3D convolutional neural networks."
131615,"Neural network-based discretization of nonlinear differential equations."
131626,"Freeze-drying behaviour prediction of button mushrooms using artificial neural network and comparison with semi-empirical models."
131635,"Neural networks ensemble for automatic DNA microarray spot classification."
131636,"Classification and diagnostic prediction of prostate cancer using gene expression and artificial neural networks."
131638,"New sinusoidal basis functions and a neural network approach to solve nonlinear Volterra-Fredholm integral equations."
131641,"Vibration prediction in drilling processes with HSS and carbide drill bit by means of artificial neural networks."
131649,"A neural computing approach to the construction of information credibility assessments for online social networks."
131653,"Automatic breast tumor detection in ABVS images based on convolutional neural network and superpixel patterns."
131655,"Neural networks for power management optimal strategy in hybrid microgrid."
131662,"Short-term wind power prediction based on improved small-world neural network."
131664,"Stem cell motion-tracking by using deep neural networks with multi-output."
131668,"Research on prediction of environmental aerosol and PM2.5 based on artificial neural network."
131670,"KKT condition-based smoothing recurrent neural network for nonsmooth nonconvex optimization in compressed sensing."
131674,"Neural computing for a low-frictional coatings manufacturing of aircraft engines' piston rings."
131685,"Learning sampling distribution for motion planning with local reconstruction-based self-organizing incremental neural network."
131686,"A finite-time convergent Zhang neural network and its application to real-time matrix square root finding."
131687,"Nonparametric kernel smoother on topology learning neural networks for incremental and ensemble regression."
131688,"Distributed cooperative learning algorithms using wavelet neural network."
131692,"Research on hot-rolling steel products quality control based on BP neural network inverse model."
131700,"Constrained-storage variable-branch neural tree for classification."
131702,"Fault diagnosis of gearbox based on RBF-PF and particle swarm optimization wavelet neural network."
131712,"A random-weighted plane-Gaussian artificial neural network."
131714,"Query-specific optimal convolutional neural ranker."
131715,"An improved feed-forward neural network based on UKF and strong tracking filtering to establish energy consumption model for aluminum electrolysis process."
131717,"A dynamic neural network model for accelerating preliminary parameterization of 3D triangular mesh surfaces."
131719,"Recurrent fuzzy wavelet neural networks based on robust adaptive sliding mode control for industrial robot manipulators."
